timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvPkts_sum_o186i221,PortRcvData_sum_o186i221,PortXmitData_sum_o186i221,PortXmitWait_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvPkts_sum_o186i222,PortRcvData_sum_o186i222,PortXmitData_sum_o186i222,PortXmitWait_sum_o186i222,PortXmitPkts_sum_o186i222,PortRcvData_sum_aggregate,PortXmitPkts_sum_aggregate,PortXmitWait_sum_aggregate,PortRcvPkts_sum_aggregate,PortXmitData_sum_aggregate
0,117061,150992,1862,2338,0,109438,146517,1604,2203,0,109830,146909,1593,2192,0,108485,145575,1622,2221,0,8954,589993,444814,0,6681,113755,149036,1773,2301,0,105973,143124,1562,2162,0,108818,145930,1614,2213,0,109654,146766,1593,2192,0,8868,584856,438200,0,6542,1174849,13223,0,17822,883014
1,1528,1360,40,29,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,60,3592,3760,0,71,1252,1158,32,25,0,576,576,8,8,0,576,576,8,8,0,1094,1116,17,17,0,58,3426,3498,0,65,7018,136,0,118,7258
2,576,576,8,8,0,1087,1098,16,16,0,576,576,8,8,0,576,576,8,8,0,40,2826,2815,0,40,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,864,864,12,12,0,27,1944,1944,0,27,4770,67,0,67,4759
3,751,647,19,15,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,41,2501,2641,0,45,1183,1079,25,21,0,792,792,11,11,0,1251,1182,20,20,0,1494,1494,22,22,0,74,4547,4720,0,78,7048,123,0,115,7361
4,1610,1429,41,33,0,1314,1303,19,19,0,792,792,11,11,0,828,806,13,13,0,76,4330,4544,0,84,1142,983,33,25,0,360,360,5,5,0,367,378,6,6,0,864,864,12,12,0,48,2585,2733,0,56,6915,140,0,124,7277
5,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,520,513,8,8,0,52,2855,3039,0,60,1142,983,33,25,0,367,378,6,6,0,666,630,9,9,0,864,864,12,12,0,52,2855,3039,0,60,5710,120,0,104,6078
6,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,47,2567,2726,0,55,1142,983,33,25,0,378,367,6,6,0,360,360,5,5,0,900,878,14,14,0,50,2588,2780,0,58,5155,113,0,97,5506
7,1574,1415,39,31,0,1296,1296,18,18,0,945,927,13,13,0,945,927,13,13,0,75,4565,4760,0,83,1574,1415,39,31,0,792,792,11,11,0,1098,1062,15,15,0,1296,1296,18,18,0,75,4565,4760,0,83,9130,166,0,150,9520
8,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,47,2567,2726,0,55,1142,983,33,25,0,360,360,5,5,0,378,367,6,6,0,864,864,12,12,0,48,2574,2744,0,56,5141,111,0,95,5470
9,1142,983,33,25,0,882,871,13,13,0,513,495,7,7,0,513,495,7,7,0,52,2844,3050,0,60,1142,983,33,25,0,360,360,5,5,0,684,637,10,10,0,864,864,12,12,0,52,2844,3050,0,60,5688,120,0,104,6100
