timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvData_sum_o186i221,PortXmitWait_sum_o186i221,PortRcvPkts_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvData_sum_o186i222,PortXmitWait_sum_o186i222,PortRcvPkts_sum_o186i222,PortXmitPkts_sum_o186i222,PortXmitData_sum_o186i222,PortRcvPkts_sum_aggregate,PortXmitPkts_sum_aggregate,PortRcvData_sum_aggregate,PortXmitWait_sum_aggregate,PortXmitData_sum_aggregate
0,8370206,2668626,30788,29536,0,561006,732558,8176,11041,0,541550,713133,7890,10756,0,549186,720774,8192,11057,0,4835091,0,62390,55046,10021948,564648,726308,8453,11080,0,544324,715725,7989,10853,0,557143,728174,8265,11129,0,545517,777909,7939,10923,0,2948116,0,43985,32646,2211632,106375,87692,7783207,0,12233580
1,2392,1897,52,37,0,1080,1113,15,16,0,360,393,5,6,0,360,393,5,6,0,3796,0,65,77,4192,2548,1754,50,31,0,792,792,11,11,0,792,792,11,11,0,1296,1636,18,25,0,4974,0,78,90,5428,143,167,8770,0,9620
2,1008,1008,14,14,0,1314,1303,19,19,0,1022,1044,16,16,0,1008,1008,14,14,0,4363,0,63,63,4352,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,871,882,13,13,0,1962,0,28,28,1951,91,91,6325,0,6303
3,1399,1079,28,21,0,882,871,13,13,0,585,567,8,8,0,513,495,7,7,0,3012,0,49,56,3379,1399,915,28,17,0,378,367,6,6,0,513,495,7,7,0,1017,1163,14,18,0,2940,0,48,55,3307,97,111,5952,0,6686
4,2438,1847,51,37,0,864,864,12,12,0,585,567,8,8,0,513,495,7,7,0,3773,0,64,78,4400,2520,1450,54,27,0,513,495,7,7,0,367,378,6,6,0,864,14831,12,34,0,17154,0,74,79,4264,138,157,20927,0,8664
5,2006,1703,45,35,0,1296,1296,18,18,0,2160,2088,30,29,0,792,792,11,11,0,5879,0,93,104,6254,1498,1097,28,18,0,792,792,11,11,0,959,963,15,15,0,1296,1296,18,18,0,4148,0,62,72,4545,155,176,10027,0,10799
6,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,0,63,71,3896,2064,1269,57,33,0,619,608,11,11,0,626,626,12,12,0,1087,1454,16,24,0,3957,0,80,96,4396,143,167,7658,0,8292
7,1637,1478,43,35,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,3062,0,57,65,3221,1142,627,33,17,0,360,360,5,5,0,527,531,9,9,0,864,1576,12,28,0,3094,0,59,59,2893,116,124,6156,0,6114
8,1964,1603,59,39,0,871,882,13,13,0,513,495,7,7,0,513,495,7,7,0,3475,0,66,86,3861,1689,627,49,17,0,520,513,8,8,0,513,495,7,7,0,864,1973,12,28,0,3608,0,60,76,3586,126,162,7083,0,7447
9,1581,1433,40,32,0,1303,1314,19,19,0,792,792,11,11,0,792,792,11,11,0,4331,0,73,81,4468,1574,1059,39,23,0,792,792,11,11,0,792,792,11,11,0,1296,1652,18,26,0,4295,0,71,79,4454,144,160,8626,0,8922
10,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,0,51,59,3032,1313,769,36,20,0,378,367,6,6,0,513,495,7,7,0,864,1220,12,20,0,2851,0,53,61,3068,104,120,5688,0,6100
11,1163,1037,36,28,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2621,0,50,58,2747,1358,843,36,20,0,576,576,8,8,0,576,576,8,8,0,864,1220,12,20,0,3215,0,56,64,3374,106,122,5836,0,6121
12,1160,990,34,26,0,1161,1161,18,18,0,513,495,7,7,0,531,502,8,8,0,3148,0,59,67,3365,1214,699,34,18,0,592,585,9,9,0,513,495,7,7,0,1080,1364,15,22,0,3143,0,56,65,3399,115,132,6291,0,6764
13,1592,1502,40,33,0,1296,1376,18,19,0,792,872,11,12,0,792,872,11,12,0,4622,0,76,80,4472,1527,1092,40,25,0,648,728,9,10,0,792,872,11,12,0,1296,1732,18,27,0,4424,0,74,78,4263,150,158,9046,0,8735
14,1160,990,34,26,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2844,0,52,60,3050,1320,787,37,21,0,360,360,5,5,0,513,495,7,7,0,864,1220,12,20,0,2862,0,53,61,3057,105,121,5706,0,6107
