access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
seq_write,1,128k,write,259.7289,2077.8454,0.0010,16777216.0000,128.0000,0.0006,126.1615,6.5711,126.1623,2,0
rand_write,1,128k,write,269.1138,2152.9236,0.0009,16777216.0000,128.0000,0.0006,121.7619,5.5337,121.7626,2,0
seq_read,1,128k,read,722.9522,5783.7235,0.0003,16777216.0000,128.0000,0.0005,45.3244,0.4203,45.3253,2,0
rand_read,1,128k,read,737.2866,5898.3936,0.0003,16777216.0000,128.0000,0.0005,44.4433,0.2860,44.4440,2,0
seq_write,1,1m,write,2053.0751,2053.1633,0.0010,16777216.0000,1024.0000,0.0006,15.9598,0.6469,15.9604,2,0
rand_write,1,1m,write,2097.0551,2097.1492,0.0010,16777216.0000,1024.0000,0.0006,15.6250,0.0439,15.6257,2,0
seq_read,1,1m,read,2626.3799,2626.5628,0.0007,16777216.0000,1024.0000,0.0006,12.4756,0.2689,12.4765,2,0
rand_read,1,1m,read,2650.7381,2650.9242,0.0008,16777216.0000,1024.0000,0.0007,12.3610,0.5574,12.3618,2,0
seq_write,1,16m,write,4478.7678,279.9476,0.0071,16777216.0000,16384.0000,0.0005,7.3157,0.0430,7.3163,2,0
rand_write,1,16m,write,4370.8926,273.2073,0.0073,16777216.0000,16384.0000,0.0005,7.4961,0.0576,7.4969,2,0
seq_read,1,16m,read,6331.9233,395.8006,0.0051,16777216.0000,16384.0000,0.0005,5.1743,0.2066,5.1750,2,0
rand_read,1,16m,read,6115.5948,382.2828,0.0050,16777216.0000,16384.0000,0.0005,5.3573,0.2823,5.3581,2,0
seq_write,1,64m,write,6547.3366,102.3200,0.0188,16777216.0000,65536.0000,0.0007,5.0039,0.2005,5.0048,2,0
rand_write,1,64m,write,6525.1088,101.9696,0.0193,16777216.0000,65536.0000,0.0006,5.0211,0.0709,5.0218,2,0
seq_read,1,64m,read,7473.3226,116.7874,0.0166,16777216.0000,65536.0000,0.0006,4.3840,0.1235,4.3847,2,0
rand_read,1,64m,read,7416.7663,115.9223,0.0164,16777216.0000,65536.0000,0.0005,4.4168,0.2240,4.4181,2,0
seq_write,8,128k,write,811.0004,6488.0167,0.0024,16777216.0000,128.0000,0.0030,323.2347,18.4714,323.2353,16,0
rand_write,8,128k,write,805.7777,6446.2314,0.0024,16777216.0000,128.0000,0.0026,325.3299,7.4968,325.3304,16,0
seq_read,8,128k,read,5359.8218,42879.2150,0.0004,16777216.0000,128.0000,0.0013,48.9084,2.9571,48.9091,16,0
rand_read,8,128k,read,5271.6375,42173.8296,0.0003,16777216.0000,128.0000,0.0012,49.7264,4.1956,49.7272,16,0
seq_write,8,1m,write,10009.7113,10009.9219,0.0016,16777216.0000,1024.0000,0.0026,26.1884,3.0259,26.1890,16,0
rand_write,8,1m,write,11082.1836,11082.4314,0.0013,16777216.0000,1024.0000,0.0024,23.6540,2.7203,23.6545,16,0
seq_read,8,1m,read,13629.2649,13629.8621,0.0012,16777216.0000,1024.0000,0.0011,19.2331,0.5740,19.2339,16,0
rand_read,8,1m,read,16573.9752,16574.6972,0.0009,16777216.0000,1024.0000,0.0009,15.8159,1.7579,15.8166,16,0
seq_write,8,16m,write,19938.6970,1246.2362,0.0127,16777216.0000,16384.0000,0.0025,13.1468,4.4436,13.1475,16,0
rand_write,8,16m,write,19086.0894,1192.9304,0.0134,16777216.0000,16384.0000,0.0025,13.7342,0.4729,13.7348,16,0
