access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
seq_write,32,16m,write,27135.9688,1696.0195,0.0363,16777216.0000,16384.0000,0.0086,38.6411,24.2267,38.6416,64,0
seq_read,32,16m,read,28805.2367,1800.3649,0.0355,16777216.0000,16384.0000,0.0016,36.4015,24.7580,36.4023,64,0
rand_write,32,16m,write,37879.2400,2367.4950,0.0257,16777216.0000,16384.0000,0.0114,27.6816,2.0832,27.6821,64,0
rand_read,32,16m,read,39275.2087,2454.7904,0.0257,16777216.0000,16384.0000,0.0017,26.6972,3.4322,26.6982,64,0
seq_write,32,64m,write,41838.6043,653.7421,0.0746,16777216.0000,65536.0000,0.0090,25.0619,6.8782,25.0624,64,0
seq_read,32,64m,read,43203.6925,675.0791,0.0912,16777216.0000,65536.0000,0.0015,24.2697,7.1871,24.2705,64,0
rand_write,32,64m,write,40580.2781,634.0792,0.0908,16777216.0000,65536.0000,0.1828,25.8390,8.8996,25.8395,64,0
rand_read,32,64m,read,43326.2159,676.9922,0.0713,16777216.0000,65536.0000,0.0024,24.2012,7.6495,24.2019,64,0
seq_write,64,16m,write,39726.7076,2482.9416,0.0494,16777216.0000,16384.0000,0.0189,52.7890,15.6493,52.7895,128,0
seq_read,64,16m,read,41217.8263,2576.3475,0.0493,16777216.0000,16384.0000,0.0120,50.8751,17.7242,50.8797,128,0
rand_write,64,16m,write,40407.2012,2525.4748,0.0481,16777216.0000,16384.0000,0.0275,51.8999,13.2568,51.9005,128,0
rand_read,64,16m,read,42428.6676,2651.8357,0.0363,16777216.0000,16384.0000,0.0057,49.4269,13.5890,49.4277,128,0
seq_write,64,64m,write,47942.2985,749.1070,0.1653,16777216.0000,65536.0000,0.0328,43.7427,11.8332,43.7433,128,0
seq_read,64,64m,read,52382.0792,818.5650,0.1539,16777216.0000,65536.0000,0.0035,40.0310,8.3125,40.0357,128,0
rand_write,64,64m,write,47449.5852,741.4100,0.1690,16777216.0000,65536.0000,0.0399,44.1969,11.8924,44.1975,128,0
rand_read,64,64m,read,52004.2721,812.6363,0.1468,16777216.0000,65536.0000,0.0040,40.3231,5.2184,40.3265,128,0
seq_write,128,16m,write,51760.6834,3235.0659,0.0779,16777216.0000,16384.0000,0.0848,81.0320,6.5693,81.0326,256,0
seq_read,128,16m,read,54507.3457,3406.7455,0.0716,16777216.0000,16384.0000,0.0213,76.9485,8.8432,76.9493,256,0
rand_write,128,16m,write,38611.6337,2413.2430,0.1032,16777216.0000,16384.0000,0.1229,108.6273,35.8632,108.6280,256,0
rand_read,128,16m,read,51252.1036,3203.2868,0.0772,16777216.0000,16384.0000,0.0161,81.8359,20.2930,81.8367,256,0
seq_write,128,64m,write,48597.3401,759.3381,0.3315,16777216.0000,65536.0000,0.1063,86.3067,23.2932,86.3073,256,0
seq_read,128,64m,read,54138.4237,845.9205,0.2981,16777216.0000,65536.0000,0.0705,77.4730,16.0292,77.4737,256,0
rand_write,128,64m,write,42068.4697,657.3237,0.3873,16777216.0000,65536.0000,0.0528,99.7013,29.5038,99.7018,256,0
rand_read,128,64m,read,47829.0906,747.3370,0.2346,16777216.0000,65536.0000,0.0154,87.6927,35.4457,87.6936,256,0
