access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
seq_write,1,128k,write,141.8987,1135.1965,0.0009,16777216.0000,128.0000,0.0004,115.4619,0.0002,115.4626,1,0
rand_write,1,128k,write,13.6231,108.9846,0.0092,16777216.0000,128.0000,0.0004,1202.6649,0.0002,1202.6655,1,0
seq_read,1,128k,read,434.8924,3479.1924,0.0003,16777216.0000,128.0000,0.0003,37.6731,0.0002,37.6737,1,0
rand_read,1,128k,read,9.4696,75.7566,0.0132,16777216.0000,128.0000,0.0002,1730.1732,0.0003,1730.1737,1,0
seq_write,1,1m,write,1023.5754,1023.6214,0.0010,16777216.0000,1024.0000,0.0005,16.0059,0.0002,16.0066,1,0
rand_write,1,1m,write,759.0171,759.0384,0.0013,16777216.0000,1024.0000,0.0004,21.5852,0.0002,21.5858,1,0
seq_read,1,1m,read,136.0997,136.1003,0.0073,16777216.0000,1024.0000,0.0003,120.3818,0.0003,120.3824,1,0
rand_read,1,1m,read,47.7362,47.7363,0.0209,16777216.0000,1024.0000,0.0002,343.2185,0.0006,343.2194,1,0
seq_write,1,16m,write,1640.3128,102.5262,0.0098,16777216.0000,16384.0000,0.0004,9.9877,0.0002,9.9883,1,0
rand_write,1,16m,write,2089.8256,130.6246,0.0077,16777216.0000,16384.0000,0.0004,7.8393,0.0002,7.8399,1,0
seq_read,1,16m,read,510.2933,31.8940,0.0314,16777216.0000,16384.0000,0.0003,32.1064,0.0003,32.1070,1,0
rand_read,1,16m,read,3038.9042,189.9514,0.0053,16777216.0000,16384.0000,0.0003,5.3909,0.0002,5.3914,1,0
seq_write,1,64m,write,2165.7994,33.8437,0.0295,16777216.0000,65536.0000,0.0004,7.5642,0.0002,7.5649,1,0
rand_write,1,64m,write,2253.1526,35.2081,0.0284,16777216.0000,65536.0000,0.0003,7.2710,0.0001,7.2716,1,0
seq_read,1,64m,read,1443.8141,22.5607,0.0443,16777216.0000,65536.0000,0.0003,11.3472,0.0002,11.3477,1,0
rand_read,1,64m,read,1324.9526,20.7035,0.0483,16777216.0000,65536.0000,0.0004,12.3651,0.0003,12.3657,1,0
