access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
seq_write,1,128k,write,143.1339,1145.0779,0.0009,16777216.0000,128.0000,0.0004,114.4656,0.0002,114.4662,1,0
rand_write,1,128k,write,141.8060,1134.4533,0.0009,16777216.0000,128.0000,0.0004,115.5376,0.0002,115.5382,1,0
seq_read,1,128k,read,422.3044,3378.4885,0.0003,16777216.0000,128.0000,0.0003,38.7960,0.0002,38.7967,1,0
rand_read,1,128k,read,430.9881,3447.9614,0.0003,16777216.0000,128.0000,0.0003,38.0143,0.0003,38.0150,1,0
seq_write,1,1m,write,1389.4106,1389.4859,0.0007,16777216.0000,1024.0000,0.0004,11.7914,0.0002,11.7921,1,0
rand_write,1,1m,write,1154.5416,1154.5949,0.0009,16777216.0000,1024.0000,0.0005,14.1903,0.0002,14.1909,1,0
seq_read,1,1m,read,1856.6808,1856.8715,0.0005,16777216.0000,1024.0000,0.0003,8.8234,0.0005,8.8243,1,0
rand_read,1,1m,read,1891.3855,1891.5191,0.0005,16777216.0000,1024.0000,0.0003,8.6618,0.0002,8.6624,1,0
seq_write,1,16m,write,1684.0802,105.2616,0.0095,16777216.0000,16384.0000,0.0004,9.7281,0.0001,9.7288,1,0
rand_write,1,16m,write,2010.8293,125.6859,0.0080,16777216.0000,16384.0000,0.0004,8.1473,0.0002,8.1479,1,0
seq_read,1,16m,read,2903.5133,181.4870,0.0055,16777216.0000,16384.0000,0.0002,5.6423,0.0003,5.6428,1,0
rand_read,1,16m,read,2929.3467,183.0995,0.0055,16777216.0000,16384.0000,0.0002,5.5926,0.0002,5.5931,1,0
seq_write,1,64m,write,4557.6500,71.2261,0.0140,16777216.0000,65536.0000,0.0004,3.5942,0.0002,3.5948,1,0
rand_write,1,64m,write,3867.9378,60.4450,0.0165,16777216.0000,65536.0000,0.0004,4.2353,0.0002,4.2358,1,0
seq_read,1,64m,read,4813.1016,75.2206,0.0133,16777216.0000,65536.0000,0.0004,3.4033,0.0003,3.4040,1,0
rand_read,1,64m,read,4701.1631,73.4694,0.0136,16777216.0000,65536.0000,0.0003,3.4844,0.0003,3.4851,1,0
seq_write,8,128k,write,547.7286,4381.8384,0.0017,16777216.0000,128.0000,0.0023,239.3005,14.2274,239.3010,8,0
