access_type,threads,transfer_size,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
seq_write,32,16m,write,22837.0398,1427.3255,0.0411,16777216.0000,16384.0000,0.0056,45.9152,26.6495,45.9156,64,0
seq_read,32,16m,read,34114.3483,2132.1864,0.0268,16777216.0000,16384.0000,0.0011,30.7365,14.2438,30.7371,64,0
rand_write,32,16m,write,26417.4245,1651.1029,0.0319,16777216.0000,16384.0000,0.0054,39.6923,10.5360,39.6926,64,0
rand_read,32,16m,read,34279.8497,2142.5326,0.0240,16777216.0000,16384.0000,0.0011,30.5881,6.3271,30.5887,64,0
seq_write,32,64m,write,22925.1164,358.2076,0.1656,16777216.0000,65536.0000,0.0056,45.7388,33.1556,45.7392,64,0
seq_read,32,64m,read,35027.1715,547.3111,0.1122,16777216.0000,65536.0000,0.0011,29.9354,19.3752,29.9361,64,0
rand_write,32,64m,write,19540.2699,305.3187,0.1910,16777216.0000,65536.0000,0.0051,53.6620,49.2156,53.6623,64,0
rand_read,32,64m,read,34779.3034,543.4389,0.1102,16777216.0000,65536.0000,0.0012,30.1487,26.4126,30.1494,64,0
seq_write,64,16m,write,24518.5208,1532.4136,0.0755,16777216.0000,16384.0000,0.0104,85.5330,61.4933,85.5334,128,0
seq_read,64,16m,read,42466.6238,2654.1940,0.0188,16777216.0000,16384.0000,0.0017,49.3830,39.2698,49.3835,128,0
rand_write,64,16m,write,31367.9311,1960.5065,0.0572,16777216.0000,16384.0000,0.0135,66.8562,40.8145,66.8566,128,0
rand_read,64,16m,read,45089.2235,2818.1122,0.0433,16777216.0000,16384.0000,0.0017,46.5106,27.0473,46.5112,128,0
seq_write,64,64m,write,32903.8575,514.1255,0.1584,16777216.0000,65536.0000,0.0104,63.7354,26.7153,63.7357,128,0
seq_read,64,64m,read,46708.6300,729.8324,0.1365,16777216.0000,65536.0000,0.0018,44.8980,12.4461,44.8986,128,0
rand_write,64,64m,write,31193.2575,487.3972,0.2575,16777216.0000,65536.0000,0.0109,67.2306,33.2261,67.2309,128,0
rand_read,64,64m,read,44814.9570,700.2435,0.1368,16777216.0000,65536.0000,0.0018,46.7951,15.5958,46.7958,128,0
seq_write,128,16m,write,38818.6981,2426.1771,0.0651,16777216.0000,16384.0000,0.0256,108.0482,51.1885,108.0485,256,0
seq_read,128,16m,read,60395.3279,3774.7396,0.0567,16777216.0000,16384.0000,0.0032,69.4469,13.5907,69.4475,256,0
rand_write,128,16m,write,39564.7285,2472.8044,0.0640,16777216.0000,16384.0000,0.0238,106.0108,46.7095,106.0112,256,0
rand_read,128,16m,read,60540.4586,3783.8163,0.0622,16777216.0000,16384.0000,0.0034,69.2803,11.6120,69.2810,256,0
seq_write,128,64m,write,36885.3859,576.3362,0.2544,16777216.0000,65536.0000,0.0228,113.7114,49.9868,113.7118,256,0
seq_read,128,64m,read,59059.3521,922.8110,0.2578,16777216.0000,65536.0000,0.0032,71.0178,10.7948,71.0185,256,0
rand_write,128,64m,write,27120.9552,423.7660,0.3801,16777216.0000,65536.0000,0.0235,154.6514,59.5506,154.6518,256,0
rand_read,128,64m,read,61085.6766,954.4725,0.2264,16777216.0000,65536.0000,0.0031,68.6620,12.8624,68.6626,256,0
